                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.3158,                 3.9841,                 3.0445,                0.22003,                0.08333,                0.03201,                 0.0059,                 3.8406,                 2.9867,                 2.6748,                  0.091,                  0.001,                  0.001
                      1,                 3.2573,                 2.3498,                 2.0834,                0.17346,                   0.25,                0.15849,                0.05912,                 2.5033,                 1.8526,                 1.6067,               0.080996,               0.001996,               0.001996
                      2,                 2.1578,                 1.6617,                 1.3378,                 0.8624,                  0.375,                0.44109,                0.29195,                 1.4613,                 1.3582,                 1.0899,               0.070883,              0.0028832,              0.0028832
                      3,                 1.6453,                 1.2846,                 1.1369,                0.57318,                0.45833,                0.43274,                0.20485,                 2.0386,                 1.6714,                 1.2368,               0.060661,              0.0036614,              0.0036614
                      4,                 1.5788,                  1.174,                 1.0774,                0.56254,                0.58333,                0.55999,                0.36558,                 1.1572,                 1.0394,                0.95293,               0.050331,              0.0043308,              0.0043308
                      5,                 1.4578,                 1.0569,                 1.0345,                0.73068,                    0.5,                0.58193,                0.37447,                 1.3056,                0.85891,                0.99449,               0.039891,              0.0048912,              0.0048912
                      6,                 1.3406,                 1.0433,                 1.0077,                0.85855,                    0.5,                0.59647,                0.39857,                 1.2547,                 1.2392,                0.96368,               0.029343,              0.0053428,              0.0053428
                      7,                 1.4038,                 1.0248,                  1.013,                0.80281,                0.54167,                0.61319,                0.37359,                 1.4194,                 1.1804,                 1.0432,               0.018685,              0.0056854,              0.0056854
                      8,                 1.3318,                0.92298,                 1.0029,                  0.759,                0.45833,                0.51119,                0.34777,                  1.328,                 1.2449,                 1.0421,              0.0079192,              0.0059192,              0.0059192
                      9,                 1.2736,                0.82809,                0.97128,                0.79081,                0.54167,                0.62712,                0.41162,                 1.2731,                0.84672,                 1.0113,               0.005545,               0.005545,               0.005545
                     10,                 1.2032,                0.85872,                0.96922,                0.71857,                0.63876,                0.65772,                0.43767,                 1.3073,                0.90541,                 1.0067,               0.005545,               0.005545,               0.005545
                     11,                 1.1752,                0.85894,                0.93552,                0.70257,                0.59083,                0.63979,                0.48055,                 1.1147,                0.78585,                0.95167,                0.00505,                0.00505,                0.00505
                     12,                 1.1238,                0.78894,                0.92915,                0.75814,                  0.625,                 0.6551,                0.49701,                 1.0879,                0.71597,                0.94761,               0.004555,               0.004555,               0.004555
                     13,                 1.0442,                0.72341,                0.93905,                0.86277,                0.54167,                0.67263,                0.49246,                 1.1145,                0.71501,                0.91753,                0.00406,                0.00406,                0.00406
                     14,                 1.0755,                0.71627,                0.90701,                0.82652,                  0.625,                0.70064,                0.50262,                 1.0746,                0.72012,                0.93556,               0.003565,               0.003565,               0.003565
                     15,                 1.0639,                0.68034,                0.91349,                0.78697,                0.54167,                0.63753,                0.48985,                 1.0928,                0.79038,                0.93894,                0.00307,                0.00307,                0.00307
                     16,                 1.1014,                0.69563,                0.92336,                0.76176,                0.58333,                0.67843,                0.50405,                 1.0462,                0.72798,                0.92009,               0.002575,               0.002575,               0.002575
                     17,                0.98789,                0.63654,                0.90142,                0.81657,                0.55703,                 0.6842,                0.50407,                 1.0777,                0.72571,                0.93487,                0.00208,                0.00208,                0.00208
                     18,                0.97715,                0.59984,                0.88917,                0.68905,                0.66667,                0.67599,                0.48451,                 1.0764,                0.72723,                0.92377,               0.001585,               0.001585,               0.001585
                     19,                 1.0285,                0.59969,                0.90698,                0.78808,                0.62005,                0.69426,                0.51553,                 1.0343,                0.72265,                0.91537,                0.00109,                0.00109,                0.00109
